Node_Label,ID_,Location,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_,Asset_category,Asset_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude,Asset_thresholdCategory,Asset_notifyCategory,Asset_pollerCategory,Asset_displayCategory,Asset_managedObjectType,Asset_managedObjectInstance,Asset_circuitId,Asset_description,MetaData_requisition:serviceId,MetaData_requisition:serviceName,MetaData_requisition:customerId,MetaData_requisition:customerName,Asset_comment,Asset_building,Asset_floor,Asset_room,Asset_rack,Asset_rackunitheight,Asset_slot,Asset_port,Asset_region,Asset_division,Asset_department,Asset_address1,Asset_address2,Asset_city,Asset_state,Asset_zip,Asset_country,Asset_modelnumber,Asset_manufacturer,Asset_vendor,Asset_vendorphone,Asset_vendorfax,Asset_userlastmodified,Asset_lastmodifieddate,Asset_dateinstalled,Asset_lease,Asset_leaseexpires,Asset_supportphone,Asset_maintcontract,Asset_maintcontractexpires,Asset_username,Asset_password,Asset_enable,Asset_autoenable,Asset_connection,Asset_operatingsystem,Asset_cpu,Asset_ram,Asset_storagectrl,Asset_hdd1,Asset_hdd2,Asset_hdd3,Asset_hdd4,Asset_hdd5,Asset_hdd6,Asset_numpowersupplies,Asset_inputpower,Asset_additionalhardware,Asset_admin,Asset_snmpcommunity
SOTN001_OLT_100,SOTN001_OLT_100,Default,,,254.0.0.1,N,,OLT,,SOTN001,,,50.91785810,-1.37625760,,,,,,,,OLT in SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_OLT_101,SOTN001_OLT_101,Default,,,254.0.0.1,N,,OLT,,SOTN001,,,50.91785810,-1.37625760,,,,,,,,OLT in SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_OLT_102,SOTN001_OLT_102,Default,,,254.0.0.1,N,,OLT,,SOTN001,,,50.91785810,-1.37625760,,,,,,,,OLT in SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_OLT_103,SOTN001_OLT_103,Default,,,254.0.0.1,N,,OLT,,SOTN001,,,50.91785810,-1.37625760,,,,,,,,OLT in SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_OLT_104,SOTN001_OLT_104,Default,,,254.0.0.1,N,,OLT,,SOTN001,,,50.91785810,-1.37625760,,,,,,,,OLT in SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOTN001_OLT_105,SOTN001_OLT_105,Default,,,254.0.0.1,N,,OLT,,SOTN001,,,50.91785810,-1.37625760,,,,,,,,OLT in SOTN001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_0_SPL8_0,SO18BPK1_CAB_0_SPL8_0,Default,SOTN001_OLT_100,testGponRequisition1,254.0.0.1,N,,PRIMARY_SPLITTER,,SOTN001,,,50.92442250,-1.37647740,,,,,,,,Primary splitter in SO18BPK1_CAB_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_1_SPL8_0,SO18BPK1_CAB_1_SPL8_0,Default,SOTN001_OLT_101,testGponRequisition1,254.0.0.1,N,,PRIMARY_SPLITTER,,SOTN001,,,50.93210210,-1.36996700,,,,,,,,Primary splitter in SO18BPK1_CAB_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_2_SPL8_1,SO18BPK1_CAB_2_SPL8_1,Default,SOTN001_OLT_102,testGponRequisition1,254.0.0.1,N,,PRIMARY_SPLITTER,,SOTN001,,,50.92828200,-1.37699110,,,,,,,,Primary splitter in SO18BPK1_CAB_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_3_SPL8_1,SO18BPK1_CAB_3_SPL8_1,Default,SOTN001_OLT_103,testGponRequisition1,254.0.0.1,N,,PRIMARY_SPLITTER,,SOTN001,,,50.92721680,-1.36954940,,,,,,,,Primary splitter in SO18BPK1_CAB_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_4_SPL8_2,SO18BPK1_CAB_4_SPL8_2,Default,SOTN001_OLT_104,testGponRequisition1,254.0.0.1,N,,PRIMARY_SPLITTER,,SOTN001,,,50.92145180,-1.37443620,,,,,,,,Primary splitter in SO18BPK1_CAB_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_CAB_5_SPL8_2,SO18BPK1_CAB_5_SPL8_2,Default,SOTN001_OLT_105,testGponRequisition1,254.0.0.1,N,,PRIMARY_SPLITTER,,SOTN001,,,50.92155100,-1.37281300,,,,,,,,Primary splitter in SO18BPK1_CAB_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0_SPL16_0,SO18BPK1_POLE_0_SPL16_0,Default,SO18BPK1_CAB_0_SPL8_0,testGponRequisition1,254.0.0.1,N,,SECONDARY_SPLITTER,,SOTN001,,,50.92446250,-1.37643740,,,,,,,,Secondary splitter in SO18BPK1_POLE_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO18BPK1_POLE_0_SPL16_1,SO18BPK1_POLE_0_SPL16_1,Default,SO18BPK1_CAB_0_SPL8_0,testGponRequisition1,254.0.0.1,N,,SECONDARY_SPLITTER,,SOTN001,,,50.92446250,-1.37643740,,,,,,,,Secondary splitter in SO18BPK1_POLE_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
